,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
147,Andorra,36808,209,147,,34223,,2438,14,475169,1898,249838,3225256,77463,Europe,2,527,0,2698,,31473
148,Togo,36605,12,269,1,34002,203,2334,,4262,31,670143,78024,8588937,Africa,235,31929,13,1,0,272
149,Mayotte,36517,43,187,,2964,,33366,,128881,660,176919,624410,283338,Africa,8,1515,2,152,,117760
150,Guinea,36270,2,432,2,32582,32,3256,49,2647,32,584902,42687,13702156,Africa,378,31718,23,0,0,238
151,Aruba,33328,26,195,,32992,54,141,10,310051,1814,177885,1654867,107492,North America,3,551,1,242,,1312
152,Tanzania,33230,,789,,,,,7,532,13,,,62453396,Africa,1879,79155,,,,517
153,Bahamas,32802,29,753,,25124,17,6925,9,82158,1886,212152,531367,399257,North America,12,530,2,73,,17345
154,Lesotho,32350,92,695,1,22507,453,9148,,14912,320,384328,177156,2169429,Africa,67,3121,6,42,0,4217
155,Mali,30215,10,715,,26996,183,2504,,1426,34,602774,28456,21182996,Africa,701,29627,35,0,,118
156,Haiti,29832,117,804,,24924,93,4104,,2566,69,132422,11391,11624948,North America,390,14459,88,10,,353
157,New Caledonia,28628,2848,284,,16131,,12213,30,98755,980,98964,341385,289890,Australia/Oceania,10,1021,3,9824,,42130
158,Mauritius,26865,180,762,,25684,225,419,,21068,598,358675,281282,1275146,Africa,47,1673,4,141,,329
159,Benin,26498,,163,,25506,,829,5,2098,13,604310,47844,12630770,Africa,477,77489,21,,,66
160,Somalia,26203,136,1340,5,13182,,11681,,1578,81,400466,24122,16601893,Africa,634,12389,41,8,0,704
161,Faeroe Islands,24360,354,20,,7693,,16647,5,495525,407,760000,15459723,49160,Europe,2,2458,0,7201,,338629
162,Congo,23792,87,375,4,20178,,3239,,4148,65,347815,60645,5735218,Africa,241,15294,16,15,0,565
163,Isle of Man,21918,29,73,,21340,,505,,255595,851,150753,1757991,85753,Europe,4,1175,1,338,,5889
